"SITEID","SITENAME","SITEDESCRI","SITETYPE","SITESTATUS","POSTCODE","DIRECTIONS","W3W","X","Y","CATEGORY"
"10081","DUNDRY",".","Radio Station","In Use","BS41 8LR","LOCATED ON DUNDRY RES (OWNED BY BRISTOL WATER CO.)","owls.items.narrow","355511","166628","Other"
"10082","LANGFORD","WESTLANDS","Private Sewage Treatment Works","In Use","BS40 5EJ","","verdict.highs.skippers","345211","160825","Waste"
"10083","BATH","22 DARLINGTON PLACE","Private Sewage Pumping Station","In Use","BA2 6BX","","calls.dated.lazy","375866","164686","Waste"
"10084","BRISTOL","EASTMEAD LANE","Private Sewage Pumping Station","In Use","BS9 1HH","","brands.goad.carry","356331","175769","Waste"
"10085","HANHAM","CENTRAL AVENUE","Private Sewage Pumping Station","In Use","BS15 3PG","","tilt.bill.nests","364605","171972","Waste"
"10086","NEWTON BARROW",".","Radio Station","In Use","SP3 4UG","","engine.houseboat.looks","410014","135436","Other"
"10087","COOMBE FARM","COOMBE BISSET","Sludge Storage Site","In Use","SP2 8PU","","duplicity.embellish.cleanser","409888","127197","Waste"
"10088","BATH","GROSVENOR HOUSE BERKLEY HOUSE THE SQUARE","Wessex Office","Sold","BA2 3EZ","ADDRESS. THE SQUARE, LOWER BRISTOL RD, BATH. FROM RAILWAY STN HEAD WEST TO CHURCHILL BRIDGE, CROSS BRIDGE TO SOUTH SIDE OF RIVER, HEAD WEST TOWARDS BRISTOL , OFFICE ON LEFT 100 METRES PAST PETROL STN SECURITY GUARD IS AVAILABLE ON EXT 2250 FOURTH CALL IS","secret.seated.dips","374538","164402","Other"
"10089","POOLE","ALDERNEY","Radio Station","In Use","BH12 4PJ","LOCATED ON BOURNEMOUTH AND WEST HANTS WATER CO. SITE AT FRANCIS AVENUE","thirsty.custard.sway","404322","95133","Other"
"10090","DARTLEY FARM","DUNTISBOURNE ROUSE","Sludge Storage Site","In Use","GL7 7JH","","pining.snug.fishery","399715","207442","Waste"
"10091","BLANDFORD",".","Radio Station","In Use","DT11 8SA","LOCATED ON E.A SITE AT RIVERS HOUSE SUNRISE BUSINESS PARK BLANDFORD","fonts.hourglass.perusing","388993","108616","Other"
"10092","CLEVEDON","STRODE COURT 1","Private Sewage Pumping Station","In Use","BS21 6UR","","caked.void.limit","339965","170023","Waste"
"10093","CLEVEDON","STRODE COURT 2","Private Sewage Pumping Station","In Use","BS21 6UR","","spite.fades.mercy","339969","169974","Waste"
"10094","ALVESTON","LIME KILN COURT","Private Sewage Treatment Works","In Use","BS35 3AB","","footballers.affords.trailer","365735","187218","Waste"
"10095","BOURNEMOUTH","BOSCOMBE SPA ROAD","Private Sewage Pumping Station","In Use","BH5 1AS","","dizzy.reward.loses","411090","91286","Waste"
"10096","ELWORTHY",".","Radio Station","In Use","TA4 2SA","","boat.amphibian.decent","307081","133605","Other"
"10097","GOOSEMOOR",".","Radio Station","In Use","TA24 7BJ","","scripted.dramatic.toenail","295388","136584","Other"
"10098","POOLE","Almond Close","Sewage Pumping Station","In Use","BH12 3HJ","","dangerously.topic.claps","404658","93391","Waste"
"10099","HAWKESBURY UPTON",".","Radio Station","In Use","GL9 1AX","LOCATED ON HAWKESBURY UPTON RES SITE OWNED BY BRISTOL WATER CO.","uniform.boomers.lifeguard","377488","187026","Other"
"10100","RINGWOOD","HIGHTOWN","Radio Station","In Use","BH24 3HJ","LOCATED ON A SITE OWNED BY BOURNEMOUTH AND WEST HAMPSHIRE WATER CO","microchip.essay.awoke","418100","105800","Other"
"10101","MAESBURY",".","Radio Station","In Use","BA5 3HB","LOCATED NEAR WARREN FARM ON LAND OWNED BY BRISTOL WATER","correct.headlight.reissued","362103","146665","Other"
"10102","PEWSEY","MILTON HILL FARM","Radio Station","In Use","SN9 6LZ","LOCATED ON MILFORD HILL FARM PEWSEY (PRIVATELY OWNED)","chaos.verge.draining","419634","157749","Other"
"10103","NEW MILTON",".","Radio Station","In Use","BH25 6EA","LOCATED ON A SITE OWNED BY BOURNEMOUTH AND WEST HAMPSHIRE WATER CO.","perfumed.pyramid.curl","424400","95200","Other"
"10104","PORLOCK",".","Radio Station","In Use","TA24 8QW","","pirate.connects.untrained","288327","146235","Other"
"10105","WELLINGTON","HAM ROAD","Private Sewage Pumping Station","In Use","TA21 9JG","","garlic.mirror.coverage","315499","121446","Waste"
"10106","WORLEBURY",".","Radio Station","In Use","BS23 2PA","LOCATED ON BRISTOL WATER CO. RES SITE","gift.form.helps","332563","162682","Other"
"10107","KINGTON MAGNA","FOLLY FARM","Single Property Booster","In Use","SP8 5EE","","origins.impulsive.robot","377298","123836","Suppl"
"10108","SHIPTON GORGE","HIGH RIGG","Single Property Booster","In Use","DT6 4PW","","savers.fade.unfilled","351642","92427","Suppl"
"10109","CATCOTT","ROSE FARM","Single Property Booster","In Use","TA7 9HX","","octagonal.deploying.busy","339384","138352","Suppl"
"10110","MOORLINCH","LOXLEY FARM BUNGALOW","Single Property Booster","In Use","TA7 9DA","","plump.nurses.emulated","339639","137741","Suppl"
"10111","KNAPP MILL","BOURNEMOUTH AND WEST HANTS","Private Distribution Site","In Use","BH23 2BT","","test.deeper.improving","415500","93600","Suppl"
"10112","FRANCIS AVENUE","BOURNEMOUTH AND WEST HANTS","Private Distribution Site","In Use","BH11 8NX","","yours.thumps.skinning","404592","95103","Suppl"
"10113","NAILSEA","SOMERFIELD OFFICE","Wessex Office","In Use","BS48 1AP","","sticky.showed.trails","347380","170770","Other"
"10114","BRIDPORT","CHURCH STREET","Wessex Store or Depot","Sold","DT6 3NY","","grape.legend.campus","346650","92720","Other"
"10115","BATH","BEAZER HOUSE","Wessex Office","In Use","BA2 3BA","LOWER BRISTOL ROAD","grape.bronze.turned","374730","164380","Other"
"10116","MOORLINCH","LOXLEY FARM","Single Property Booster","In Use","TA7 9DA","","overcomes.panthers.scans","339638","137788","Suppl"
"10118","MANOR FARM","LATTON","Sludge Storage Site","In Use","GL7 5QF","FARM ID IN SCISYS 32L","things.blogs.gathering","408044","196924","Waste"
"10121","UPPER CHALKLEY FARM","POST OFFICE LANE CHELTENHAM","Sludge Storage Site","In Use","BS37 6QS","SCISYS REF 32K","relished.respond.grow","376610","185877","Waste"
"10122","CUDWORTH","CUDWORTH  PRIVATE RESERVOIR","Private Reservoir","In Use","TA20 4DG","A SOURCE WE DO NOT USE BUT WE MAINTAIN A BOOSTER FOR A FARMER TO PUMP WATER TO A PRIVATE TANK. OCASSIONALLY WE HAVE TO TANKER WATER TO THE PRIVATE TANK WHEN THE BOOSTER FAILS.","childcare.mirroring.snatched","337282","109657","Suppl"
"10123","STOKE ST MARY","STOKE HILL HOUSE","Private Distribution Site","In Use","TA3 5BU","","watchdogs.bids.carver","326687","122496","Suppl"
"10124","MANOR FARM","WINTERBOURNE EARLS","Sludge Storage Site","In Use","SP4 6JL","FARM ID IN SCISYS 87H","blunders.splits.boggles","417774","135441","Waste"
"10125","BRISTOL","TUNNEL","Sewage Monitor","In Use","BS1 5NA","CELLO MONITORING IN MANHOLE ST58734041","racing.slide.combining","358408","173031","Waste"
"10126","WEYMOUTH","SPA ROAD","Private Sewage Pumping Station","In Use","DT3 5EP","","fracture.aimed.cards","367033","81200","Waste"
"10127","BRADFORD-ON-AVON","KINGSTON ROAD","Private Sewage Pumping Station","In Use","BA15 1AB","SITE MANAGED BY HAZELVINE TEL 01628 529765","lends.factory.snooty","382870","160796","Waste"
"10128","BITTON","WALL TYNING GARDENS","Sewage Pumping Station","In Use","BS30 6AB","DRIVE TO THE END OF WALL TYNING GARDENS.  THE PANELS ARE ON THE GARAGE WALL OF NO 9.  THE FOUL AND STORM WET WELLS ARE IN THE SIDE GARDEN OF NO 8","flap.foam.nurses","366958","170665","Waste"
"10129","POOLE","CANFORD CLIFFS ROAD NO 150","Private Sewage Pumping Station","In Use","BH13 7ER","SINGLE FREEHOLD FLATS","gold.bride.sings","405302","89796","Waste"
"10131","EYPE","1 MOUNT COTTAGES","Private Sewage Pumping Station","In Use","DT6 6AR","SINGLE PROPERTY PUMPING STATION","afraid.frown.strategy","345109","91838","Waste"
"10132","SEEND","THE STOCKS","Private Sewage Pumping Station","In Use","SN12 6PL","","ballooned.trifle.revise","392987","160374","Waste"
"10133","SALISBURY","THE CLOSE","Sewage Pumping Station","In Use","SP1 2EY","ENTER THE CATHEDRAL GROUNDS FROM THE HIGH STREET THROUGH THE ARCH. AT THE END OF THE CAR PARK, TURN RIGHT TOWARDS THE MUSEUM AND MEDIEVAL HALL. FOLLOW THE ROAD THEN TURN RIGHT THROUGH THE GATE INTO 101 THE CLOSE. THE SPS IS AT THE SIDE OF THE BUILDING BY","spoil.latter.ahead","414032","129601","Waste"
"10134","LONG SUTTON","GOLF CLUB","Private Sewage Pumping Station","In Use","TA10 9JU","","full.renews.paddlers","347189","124158","Waste"
"10135","DURRINGTON","PRIMROSE PLACE","Sewage Pumping Station","In Use","SP4 8AU","","apply.verve.luckier","415272","144731","Waste"
"10136","ALLER COURT FARM","ALLER","Sludge Storage Site","In Use","TA10 0QR","FARM ID 87D.","games.forgives.really","339550","128805","Waste"
"10137","MALMESBURY","SCHOOL","Private Sewage Pumping Station","In Use","SN16 0DF","","upsetting.willing.scarf","392488","187509","Waste"
"10139","BATH","CRESCENT LANE","Sewage Pumping Station","In Use","BA1 2PU","IF YOU ARE ON CRESCENT LANE WITH GREEN TRAINGLE ON RIGHT HAND SIDE TRAFALGAR COTTAGE IS OPPOSITE AND APPROX HALF WAY ALONG THE TOW OF HOUSES. USE POSTCODE BA1 2PU. PARKING IS VERY DIFFICULT.","laws.wizard.elbow","374564","165472","Waste"
"10140","NAILSEA","GREENFIELD CRESCENT","Private Sewage Pumping Station","In Use","BS48 1HL","","sober.social.crass","347092","171290","Waste"
"10141","WARMINSTER","COPHEAP LANE","Sewage Pumping Station","In Use","BA12 0BE","TURN OFF COPHEAP LANE INTO AN UNNAMED ROAD WHICH IS STILL PARK OF COPHEAP LANE. PS IS RIGHT AT THE END OF THE CUL DE SAC.","inherits.flags.lied","387867","145302","Waste"
"10142","SYNWELL","KNAPP ROAD","Sewage Pumping Station","In Use","GL12 7HN","TURN RIGHT ALONGSIDE NO 47 KNAPP ROAD. THE PUMPING STATION IS ON THE LEFT HAND SIDE JUST BEFORE THE DOUBLE GARAGE.","detained.masses.unhappy","376299","193072","Waste"
"10143","WARMINSTER","FORAGE LANE","Sewage Pumping Station","In Use","BA12 0DH","TURN OFF COPHEAP LANE FORAGE LANE. PS IS AT THE BOTTOM OF THE ROAD ON THE RIGHT HAND SIDE. USE POSTCODE BA12 0DH.","caressing.refers.ordinary","387816","145359","Waste"
"10144","YEOVIL","HATHERMEAD GARDENS","Sewage Pumping Station","In Use","BA21 5BX","FOLLOW POSTCODE TO HEATHERMEAD GARDENS, PS IS IN FRONT OF 2 LARGE BLOCKS OF FLATS IN CAR PARK AREA AT THE END OF THE ROAD.","shed.smashes.boring","356865","116990","Waste"
"10146","CREWKERNE","BIRDS CLOSE","Sewage Pumping Station","In Use","TA18 8BQ","FOLLOW POSTCODE TO WEST STREET CREWKERNE. JUST BEFORE THE HEALTH CENTRE TURN INTO BIRDS CLOSE. THE PS IS IN THE CAR PARK AREA BEHIND PORPERTYS 16 TO 24.","proudest.pleaser.public","343928","109579","Waste"
"10147","SOMERTON","LEFFMAN COURT","Sewage Pumping Station","In Use","TA11 6LF","FOLLOW POSTCODE TO LEFFMAN COURT SOMERTON. AS YOU TURN INTO LEFFMAN COURT THE PS IS IN THE CAR PARK AREA WITH THE CONTROLS OUTSIDE NO 14 IN A FENCED AREA AND THE WET WELL AT ENDGE OF CAR PARKING SPACE NUMBER 14.","glider.wobbles.hardly","348403","128852","Waste"
"10148","BRIDGWATER","CANAL SIDE","Sewage Pumping Station","In Use","TA6 7ET","FOLLOW POSTCODE TO ALBERT STREET BRIDGWATER AS YOU GO OVER THE BRIDGEWATER AND TAUNTON CANAL BRIDGE TURN LEFT INTO CANAL SIDE THE PS IS OUTSIDE NO 7 AGAINST THE GATEWAY.","joins.ends.yarn","329461","136620","Waste"
"10152","MORETON","WOODSFORD LANE","Private Sewage Treatment Works","In Use","DT2 8AY","OWNED BY SYNERGY.","harp.conspire.purses","378007","89400","Waste"
"10153","EAST LULWORTH","SHAGGS","Private Sewage Pumping Station","In Use","BH20 5QP","OWNED BY SYNERGY. SIDE STW CATCHMENT.","rainwater.cherry.gallons","385514","83399","Waste"
"10154","WINFRITH NEWBURGH","COLEHILL DROVE","Private Sewage Treatment Works","In Use","DT2 8DB","OWNED BY SYNERGY.","toward.rentals.inert","379829","85059","Waste"
"10155","COOMBE KEYNES","NEWTOWN HILL","Private Sewage Pumping Station","In Use","BH20 5PR","OWNED BY SYNERGY. PUMPS TO PRIVATE STW","unloads.enclosing.chief","383890","84305","Waste"
"10156","STEEPLE","BLACKMANSTON COTTAGES","Private Sewage Pumping Station","In Use","BH20 5NZ","OWNED BY SYNERGY. OUTSIDE STW CATCHMENT.","exhaled.yelled.chefs","391538","80910","Waste"
"10157","POOLE","TILLINGBOURNE COURT","Private Sewage Pumping Station","In Use","BH12 1BG","OWNED BY SYNERGY.","vows.both.indoor","406113","91921","Waste"
"10158","ORGANFORD","WAREHAM ROAD","Private Sewage Treatment Works","In Use","BH16 6EZ","OWNED BY SYNERGY.","dote.panicking.song","393755","92958","Waste"
"10159","WEST MOORS","12A HARDY CLOSE","Private Sewage Pumping Station","In Use","BH22 0EA","OWNED BY SYNERGY.","brand.soon.cone","408630","102405","Waste"
"10160","EAST WOODYATES","PENTRIDGE","Private Sewage Treatment Works","In Use","SP5 5QZ","","rejoins.strictly.dandelions","402616","119528","Waste"
"10161","HORTON","HAYTHORNE COMMON","Private Sewage Pumping Station","In Use","BH21 7JQ","OWNED BY SYNERGY. SIDE STW CATCHMENT.","along.adapt.toolbar","403740","107735","Waste"
"10162","ALDERHOLT","JUBILEE COURT","Private Sewage Treatment Works","In Use","SP6 3AA","OWNED BY SYNERGY.","ruler.pigtails.gather","411251","112473","Waste"
"10163","WOODLANDS","HILLSIDE WALK","Private Sewage Pumping Station","In Use","BH21 8NL","OWNED BY SYNERGY. OUTSIDE STW CATCHMENT.","mows.spruced.markets","405980","108929","Waste"
"10164","CLEVEDON","CHANNEL ROAD","Sewage Pumping Station","In Use","BS21 7DR","TURN INTO THE PRIVATE ROAD BETWEEN NO 4 AND 8 CHANNEL ROAD. THE WET WELL IS IN THE MIDDLE OF THE ROAD OUTSIDE NO 6B, THE CONTROL PANEL IS IN THE HEDGE ALONGSIDE | CONTACT NOTES: COMPANY SECRETARY, MRS TRACEY GIBBS - 6C CHANNEL ROAD - EMAIL: TRACEY_GIBBS@","solar.remark.singer","341239","172450","Waste"
